


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
 |    KV22    KV21    KV29 |-0.013|-0.039| 0.008|-0.029| 0.042|  1303.1|1:   31115|
 |    KV22    KV29    KV30 |-0.001| 0.001| 0.000| 0.000| 0.001|  1704.8|1: 1205463|
 |    KV26    KV25    KV27 | 0.001|-0.001|-0.000|-0.001| 0.001|  1794.7|1: 1269039|
 |    KV26    KV27    KV28 | 0.002|-0.004|-0.001|-0.005| 0.005|  2195.9|1:  479188|
 |    KV26    KV28    KV29 |-0.001|-0.001|-0.001| 0.000| 0.002|  3106.3|1: 1793426|
 |    KV26    KV43    KV45 | 0.002|-0.002| 0.001|-0.002| 0.003|  4264.8|1: 1421598|
 |    KV26    KV45    KV46 | 0.001|-0.002| 0.000|-0.001| 0.002|  2129.7|1:  952433|
 |    KV26    KV29    KV30 | 0.000| 0.001| 0.001| 0.001| 0.001|  3508.1|1: 2480593|
 |    KV32    KV23    KV24 |-0.001| 0.000| 0.000| 0.001| 0.001|  1390.4|1: 1390375|
 |    KV33    KV31    KV18 |-0.005| 0.005|-0.001| 0.007| 0.007|  1828.0|1:  255966|
 |    KV33    KV18    KV34 |-0.002| 0.001| 0.002| 0.001| 0.003|  1890.2|1:  630055|
 |    KV33    KV37    KV39 | 0.001|-0.002| 0.000|-0.001| 0.002|   650.4|1:  290851|
 |    KV33    KV39    KV43 |-0.001| 0.001|-0.001| 0.000| 0.002|  1802.6|1: 1040735|
