_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
| 204 |  400287.07 |   50040.07 |     1506.0 |          T |                                |                                |
| 205 |  399961.00 |   50031.44 |      438.0 |          T |                                |                                |
| 206 |  400029.66 |   50028.36 |      642.0 |          T |                                |                                |
| 207 |  400071.70 |   50024.70 |      440.0 |          T |                                |                                |
| 208 |  400120.97 |   50024.73 |      570.0 |          T |                                |                                |
| 209 |  400173.84 |   50026.86 |      260.0 |          T |                                |                                |
| 210 |  400400.35 |   50018.78 |    13945.0 |          T |                                |                                |
| 211 |  400038.93 |   50007.16 |      435.0 |          T |                                |                                |
| 212 |  400077.20 |   50012.82 |      438.0 |          T |                                |                                |
| 213 |  400081.93 |   50001.10 |      436.0 |          T |                                |                                |
| 215 |  400304.14 |   50016.75 |     2801.0 |          T |                                |                                |
| 216 |  399979.33 |   49985.02 |     2551.0 |          T |                                |                                |
| 217 |  400044.36 |   49995.14 |      402.0 |          T |                                |                                |
| 218 |  400048.60 |   49982.96 |      415.0 |          T |                                |                                |
| 219 |  400093.77 |   49978.59 |      550.0 |          T |                                |                                |
| 220 |  400138.60 |   49989.89 |      573.0 |          T |                                |                                |
| 221 |  400184.54 |   49991.39 |      889.0 |          T |                                |                                |
| 222 |  400228.51 |   49991.96 |      700.0 |          T |                                |                                |
| 223 |  400297.17 |   49973.49 |      400.0 |          T |                                |                                |
| 224 |  400057.11 |   49964.58 |      835.0 |          T |                                |                                |
| 225 |  400102.51 |   49966.52 |      561.0 |          T |                                |                                |
| 226 |  400148.77 |   49968.85 |      869.0 |          T |                                |                                |
| 227 |  400197.41 |   49969.80 |     1010.0 |          T |                                |                                |
| 228 |  400245.92 |   49968.87 |     1000.0 |          T |                                |                                |
| 229 |  400335.30 |   49970.43 |      681.0 |          T |                                |                                |
| 231 |  400001.91 |   49939.88 |      399.0 |          T |                                |                                |
| 232 |  400065.31 |   49945.98 |      442.0 |          T |                                |                                |
| 233 |  400115.42 |   49952.74 |      456.0 |          T |                                |                                |
| 234 |  400157.16 |   49947.66 |      609.0 |          T |                                |                                |
| 235 |  400207.65 |   49940.97 |      880.0 |          T |                                |                                |
| 236 |  400227.52 |   49951.78 |      562.0 |          T |                                |                                |
| 237 |  400274.94 |   49954.17 |      753.0 |          T |                                |                                |
| 238 |  400327.58 |   49940.83 |      400.0 |          T |                                |                                |
| 239 |  400452.25 |   49950.29 |     5833.0 |          T |                                |                                |
| 240 |  400007.26 |   49927.10 |      294.0 |          T |                                |                                |
| 241 |  400075.34 |   49925.30 |      581.0 |          T |                                |                                |
| 242 |  400118.96 |   49932.69 |      637.0 |          T |                                |                                |
| 243 |  400164.72 |   49935.72 |      369.0 |          T |                                |                                |
| 244 |  400170.01 |   49918.98 |      483.0 |          T |                                |                                |
| 245 |  400189.37 |   49928.45 |      186.0 |          T |                                |                                |
| 246 |  400229.51 |   49922.89 |      936.0 |          T |                                |                                |
| 247 |  400288.22 |   49932.41 |      945.0 |          T |                                |                                |
| 248 |  400365.86 |   49932.75 |     1000.0 |          T |                                |                                |
| 249 |  400011.07 |   49918.36 |      170.0 |          T |                                |                                |
| 250 |  400081.57 |   49912.72 |      300.0 |          T |                                |                                |
| 251 |  400087.31 |   49902.62 |      585.0 |          T |                                |                                |
| 252 |  400128.42 |   49915.35 |      292.0 |          T |                                |                                |
| 253 |  400136.01 |   49899.04 |      282.0 |          T |                                |                                |
| 254 |  400175.53 |   49906.70 |      510.0 |          T |                                |                                |
| 255 |  400257.33 |   49915.35 |      329.0 |          T |                                |                                |
| 256 |  400267.45 |   49904.82 |      363.0 |          T |                                |                                |
| 257 |  400300.71 |   49914.41 |      637.0 |          T |                                |                                |
| 260 |  400022.68 |   49895.83 |      436.0 |          T |                                |                                |
| 261 |  400094.34 |   49891.02 |      509.0 |          T |                                |                                |
| 262 |  400098.10 |   49882.54 |      271.0 |          T |                                |                                |
| 263 |  400141.47 |   49890.98 |      281.0 |          T |                                |                                |
| 264 |  400146.06 |   49882.35 |      283.0 |          T |                                |                                |
| 265 |  400187.50 |   49893.41 |     1038.0 |          T |                                |                                |
| 267 |  400017.29 |   49875.80 |      428.0 |          T |                                |                                |
| 268 |  400028.64 |   49864.99 |      895.0 |          T |                                |                                |
| 269 |  400104.00 |   49868.47 |      962.0 |          T |                                |                                |
| 270 |  400153.10 |   49868.78 |      594.0 |          T |                                |                                |
| 271 |  400199.23 |   49871.16 |      925.0 |          T |                                |                                |
| 272 |  400263.61 |   49872.19 |      411.0 |          T |                                |                                |
| 273 |  400341.64 |   49860.22 |      400.0 |          T |                                |                                |
| 274 |  400003.01 |   49844.57 |      400.0 |          T |                                |                                |
| 274 |  399964.83 |   49816.71 |      314.0 |          T |                                |                                |
| 275 |  400036.31 |   49847.23 |      687.0 |          T |                                |                                |
| 276 |  400103.17 |   49848.53 |      147.0 |          T |                                |                                |
| 277 |  400118.13 |   49844.77 |      849.0 |          T |                                |                                |
| 278 |  400162.62 |   49844.66 |      540.0 |          T |                                |                                |
| 279 |  400211.18 |   49856.84 |     1007.0 |          T |                                |                                |
| 280 |  400219.76 |   49841.41 |      942.0 |          T |                                |                                |
| 281 |  400274.87 |   49840.47 |      315.0 |          T |                                |                                |
| 282 |  400289.11 |   49859.71 |      539.0 |          T |                                |                                |
| 283 |  400307.10 |   49852.42 |      500.0 |          T |                                |                                |
| 284 |  400356.02 |   49838.80 |      400.0 |          T |                                |                                |
| 285 |  400370.40 |   49824.85 |      400.0 |          T |                                |                                |
| 286 |  400424.97 |   49832.88 |      400.0 |          T |                                |                                |
| 287 |  399841.00 |   49837.92 |    66582.0 |          T |                                |                                |
| 288 |  399986.78 |   49827.45 |      400.0 |          T |                                |                                |
| 289 |  400048.76 |   49829.37 |      426.0 |          T |                                |                                |
| 290 |  400128.18 |   49823.74 |      920.0 |          T |                                |                                |
| 291 |  400167.31 |   49832.71 |      233.0 |          T |                                |                                |
| 292 |  400171.83 |   49825.60 |      270.0 |          T |                                |                                |
| 293 |  400240.65 |   49839.61 |      436.0 |          T |                                |                                |
| 294 |  399972.42 |   49803.86 |      400.0 |          T |                                |                                |
| 295 |  400053.97 |   49816.62 |      413.0 |          T |                                |                                |
| 296 |  400060.05 |   49802.64 |      500.0 |          T |                                |                                |
| 297 |  400130.17 |   49804.91 |      718.0 |          T |                                |                                |
| 298 |  400176.60 |   49817.68 |      322.0 |          T |                                |                                |
| 299 |  400180.17 |   49808.21 |      326.0 |          T |                                |                                |
| 300 |  400220.04 |   49817.82 |      533.0 |          T |                                |                                |
| 301 |  400249.69 |   49811.81 |      540.0 |          T |                                |                                |
| 302 |  400294.10 |   49816.73 |      751.0 |          T |                                |                                |
| 303 |  400345.94 |   49807.59 |      400.0 |          T |                                |                                |
| 304 |  400382.45 |   49811.46 |      400.0 |          T |                                |                                |
| 305 |  400395.36 |   49791.23 |      400.0 |          T |                                |                                |
| 306 |  400494.80 |   49809.75 |    26882.0 |          T |                                |                                |
| 308 |  399992.14 |   49781.11 |      590.0 |          T |                                |                                |
| 309 |  400017.32 |   49804.44 |     3308.0 |          T |                                |                                |
| 310 |  400066.45 |   49790.10 |      280.0 |          T |                                |                                |
| 311 |  400137.76 |   49793.27 |      390.0 |          T |                                |                                |
